loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
7600,36 months,10.82,248.17,B,5 years,RENT,85000,Not Verified,debt_consolidation,14.47,1,727,71.9,Fully Paid
5000,36 months,8.28,157.33,A,2 years,RENT,35900,Verified,debt_consolidation,20.48,0,744,50.6,Fully Paid
19800,36 months,15.65,692.69,D,10+ years,MORTGAGE,30300,Not Verified,car,17.17,0,682,42.8,Charged Off
18500,36 months,19.34,681.32,D,10+ years,RENT,67100,Not Verified,other,14.97,1,692,53.9,Charged Off
25000,60 months,20.46,668.76,E,6 years,RENT,33900,Not Verified,credit_card,10.92,0,690,33.0,Charged Off
8300,60 months,7.33,165.65,A,10+ years,MORTGAGE,66800,Verified,debt_consolidation,25.3,0,734,70.7,Fully Paid
7000,36 months,13.27,236.77,C,10+ years,MORTGAGE,150300,Not Verified,home_improvement,36.83,0,683,85.0,Charged Off
8400,60 months,12.23,187.83,B,2 years,MORTGAGE,56000,Verified,debt_consolidation,22.77,0,702,19.5,Fully Paid
11200,36 months,21.61,425.48,E,4 years,OWN,49300,Not Verified,debt_consolidation,12.75,0,661,44.0,Fully Paid
7100,36 months,13.18,239.84,C,10+ years,MORTGAGE,71100,Verified,credit_card,8.74,0,686,33.0,Fully Paid
16400,36 months,12.86,551.48,C,1 year,RENT,36300,Verified,debt_consolidation,18.29,0,706,67.0,Charged Off
13000,36 months,11.29,427.39,B,4 years,RENT,44700,Verified,credit_card,18.65,0,720,62.7,Charged Off
7100,36 months,6.74,218.38,A,6 years,MORTGAGE,95000,Not Verified,debt_consolidation,16.88,0,731,70.6,Charged Off
9900,36 months,15.66,346.4,D,10+ years,RENT,36500,Not Verified,debt_consolidation,17.66,0,672,62.9,Fully Paid
17500,36 months,22.96,677.06,F,3 years,RENT,53200,Source Verified,debt_consolidation,10.04,1,652,69.8,Charged Off
14900,36 months,6.83,458.91,A,10+ years,RENT,71400,Not Verified,debt_consolidation,18.24,0,735,77.9,Fully Paid
19400,36 months,9.61,622.44,B,10+ years,MORTGAGE,102000,Verified,debt_consolidation,16.31,0,715,68.7,Charged Off
10800,36 months,8.01,338.48,A,5 years,RENT,74600,Source Verified,small_business,30.19,0,739,76.3,Fully Paid
13300,36 months,12.77,446.66,C,5 years,MORTGAGE,63400,Verified,home_improvement,8.67,1,716,28.7,Charged Off
22700,60 months,23.7,649.09,E,10+ years,MORTGAGE,57000,Not Verified,debt_consolidation,32.61,0,661,80.6,Charged Off
22100,36 months,9.88,711.86,B,10+ years,MORTGAGE,36300,Not Verified,credit_card,17.27,0,688,74.6,Charged Off
19600,60 months,20.23,521.79,E,10+ years,RENT,60100,Source Verified,debt_consolidation,11.98,1,665,45.7,Fully Paid
7000,36 months,6.28,213.84,A,3 years,MORTGAGE,42300,Verified,credit_card,33.34,0,742,79.0,Charged Off
11000,36 months,16.57,389.83,D,2 years,RENT,42900,Source Verified,major_purchase,28.4,1,678,45.0,Fully Paid
8300,60 months,20.25,221.06,E,2 years,MORTGAGE,69800,Source Verified,home_improvement,15.9,1,678,61.1,Fully Paid
21000,60 months,12.9,476.74,B,5 years,MORTGAGE,73400,Not Verified,credit_card,9.45,1,719,41.3,Fully Paid
14500,60 months,13.52,333.79,C,10+ years,RENT,144900,Not Verified,debt_consolidation,36.56,1,684,79.1,Charged Off
5700,36 months,6.86,175.63,A,4 years,RENT,55600,Verified,debt_consolidation,19.03,0,744,43.0,Fully Paid
3900,36 months,12.73,130.9,C,3 years,MORTGAGE,52800,Verified,debt_consolidation,16.55,0,691,32.2,Fully Paid
8300,36 months,20.42,310.24,E,10+ years,RENT,62800,Not Verified,debt_consolidation,21.2,3,672,74.0,Charged Off
7900,36 months,10.23,255.76,B,10+ years,OWN,111500,Verified,debt_consolidation,8.27,0,729,63.9,Fully Paid
10100,36 months,10.7,329.23,B,2 years,RENT,98700,Verified,home_improvement,33.06,0,720,49.0,Charged Off
16900,36 months,18.22,612.84,D,8 years,RENT,57200,Verified,credit_card,10.85,0,683,50.1,Fully Paid
9500,36 months,11.82,314.72,B,10+ years,RENT,34400,Verified,debt_consolidation,3.81,0,712,22.8,Fully Paid
9400,36 months,20.4,351.26,E,< 1 year,RENT,50500,Verified,medical,6.55,0,689,35.8,Charged Off
19400,36 months,12.72,651.05,C,2 years,MORTGAGE,67800,Not Verified,debt_consolidation,10.3,1,678,63.2,Fully Paid
15400,36 months,26.73,626.48,G,10+ years,OWN,74000,Not Verified,debt_consolidation,10.46,0,630,19.0,Charged Off
26900,60 months,21.03,728.19,F,3 years,RENT,85700,Source Verified,debt_consolidation,34.32,0,656,53.6,Charged Off
11000,36 months,10.81,359.14,B,8 years,OWN,19700,Not Verified,medical,20.45,0,720,52.7,Charged Off
12100,36 months,11.12,396.83,B,10+ years,MORTGAGE,52200,Source Verified,debt_consolidation,15.32,0,674,45.2,Fully Paid
10900,60 months,13.85,252.78,C,1 year,MORTGAGE,90100,Not Verified,debt_consolidation,9.0,0,674,27.9,Charged Off
15800,36 months,11.64,522.07,B,< 1 year,RENT,84500,Verified,home_improvement,8.64,1,722,40.3,Fully Paid
17000,36 months,12.64,569.85,C,< 1 year,MORTGAGE,22300,Verified,home_improvement,37.17,0,691,70.8,Charged Off
9600,60 months,12.61,216.52,C,5 years,MORTGAGE,28900,Verified,credit_card,18.15,0,698,65.0,Charged Off
13500,36 months,11.18,443.12,B,1 year,MORTGAGE,101500,Source Verified,debt_consolidation,13.08,0,712,14.9,Charged Off
6800,36 months,18.53,247.65,D,10+ years,MORTGAGE,90600,Not Verified,debt_consolidation,31.81,0,677,42.7,Charged Off
19800,36 months,12.31,660.58,B,9 years,MORTGAGE,59400,Source Verified,home_improvement,21.51,0,713,34.9,Fully Paid
9900,36 months,15.45,345.37,D,9 years,MORTGAGE,25400,Not Verified,debt_consolidation,21.41,1,695,56.9,Fully Paid
13000,36 months,15.92,456.53,C,10+ years,OWN,69600,Not Verified,debt_consolidation,10.21,0,705,35.4,Fully Paid
5200,60 months,8.2,105.94,B,10+ years,OWN,42600,Not Verified,credit_card,21.54,0,723,32.9,Fully Paid
2700,36 months,6.08,82.24,A,9 years,MORTGAGE,93900,Not Verified,home_improvement,31.69,0,739,15.4,Fully Paid
11300,36 months,14.44,388.63,C,2 years,OWN,38100,Verified,credit_card,10.73,0,707,55.8,Fully Paid
7400,36 months,19.74,274.03,E,3 years,MORTGAGE,28700,Verified,major_purchase,22.84,0,700,61.6,Charged Off
27600,36 months,9.66,886.18,B,7 years,MORTGAGE,110400,Source Verified,debt_consolidation,7.87,0,720,62.2,Fully Paid
19500,36 months,13.0,657.03,C,10+ years,MORTGAGE,135400,Source Verified,debt_consolidation,15.11,2,688,48.6,Charged Off
18100,60 months,10.78,391.55,B,4 years,MORTGAGE,86100,Source Verified,debt_consolidation,10.52,0,715,61.8,Fully Paid
10100,36 months,7.17,312.64,A,1 year,RENT,49300,Source Verified,credit_card,17.8,0,730,73.7,Charged Off
12900,36 months,13.28,436.39,C,3 years,OWN,43500,Verified,credit_card,38.35,0,707,87.1,Charged Off
12800,36 months,13.35,433.44,C,10+ years,RENT,43000,Source Verified,debt_consolidation,11.12,0,690,23.7,Fully Paid
8600,36 months,17.18,307.38,E,10+ years,MORTGAGE,113500,Source Verified,credit_card,6.06,0,663,37.2,Fully Paid
18600,36 months,12.38,621.17,C,10+ years,OWN,73900,Verified,debt_consolidation,7.68,0,716,49.3,Fully Paid
6600,36 months,6.42,202.04,A,< 1 year,MORTGAGE,104100,Not Verified,debt_consolidation,18.91,0,740,24.6,Fully Paid
7700,36 months,11.85,255.2,B,2 years,MORTGAGE,101900,Not Verified,credit_card,11.0,2,720,48.2,Fully Paid
15200,36 months,7.88,475.47,A,10+ years,MORTGAGE,65600,Not Verified,home_improvement,34.03,1,758,50.9,Fully Paid
10000,36 months,11.16,328.15,B,3 years,MORTGAGE,38700,Not Verified,credit_card,26.55,0,731,45.4,Fully Paid
20600,36 months,10.5,669.55,B,< 1 year,RENT,39000,Not Verified,debt_consolidation,4.48,0,698,46.6,Fully Paid
17900,36 months,9.8,575.9,B,10+ years,MORTGAGE,62500,Verified,other,15.02,0,724,40.6,Fully Paid
10800,36 months,16.73,383.6,D,3 years,MORTGAGE,102500,Not Verified,small_business,4.11,0,672,81.1,Charged Off
4200,36 months,10.84,137.18,B,6 years,MORTGAGE,90000,Not Verified,debt_consolidation,19.39,0,715,53.9,Charged Off
8500,36 months,9.52,272.36,B,< 1 year,MORTGAGE,32000,Source Verified,credit_card,8.82,0,726,31.0,Fully Paid
37100,36 months,14.12,1270.15,C,2 years,RENT,92100,Not Verified,credit_card,1.81,0,680,55.0,Fully Paid
7500,36 months,13.81,255.64,C,5 years,OWN,21800,Verified,credit_card,9.83,1,718,66.6,Fully Paid
5600,36 months,9.83,180.25,C,4 years,RENT,37600,Not Verified,credit_card,22.0,0,704,82.4,Fully Paid
5800,60 months,10.04,123.35,B,1 year,MORTGAGE,64300,Verified,debt_consolidation,16.76,0,701,58.2,Fully Paid
22100,36 months,15.5,771.53,D,3 years,MORTGAGE,21600,Source Verified,debt_consolidation,12.33,0,683,44.0,Charged Off
19800,36 months,16.77,703.66,D,3 years,OWN,54600,Not Verified,credit_card,13.94,0,693,30.9,Fully Paid
7200,60 months,14.03,167.64,C,3 years,MORTGAGE,14200,Not Verified,debt_consolidation,12.96,1,705,77.4,Charged Off
7300,36 months,23.86,285.86,F,3 years,MORTGAGE,68900,Source Verified,debt_consolidation,18.56,0,669,65.1,Charged Off
11500,36 months,12.01,382.02,C,1 year,MORTGAGE,46000,Not Verified,debt_consolidation,19.95,1,705,52.7,Charged Off
10000,36 months,13.36,338.68,C,< 1 year,MORTGAGE,118300,Not Verified,credit_card,9.52,0,713,56.2,Fully Paid
12600,36 months,20.25,469.87,E,8 years,MORTGAGE,40300,Not Verified,debt_consolidation,7.85,0,662,33.1,Charged Off
17500,36 months,13.43,593.28,C,< 1 year,MORTGAGE,63100,Source Verified,debt_consolidation,9.91,0,703,69.6,Charged Off
3800,36 months,9.82,122.29,B,10+ years,RENT,140700,Source Verified,debt_consolidation,9.4,0,710,76.1,Charged Off
12100,36 months,10.56,393.62,B,10+ years,MORTGAGE,48600,Verified,debt_consolidation,4.7,0,708,59.0,Fully Paid
6200,60 months,10.74,134.0,B,2 years,MORTGAGE,41200,Verified,credit_card,19.54,0,708,23.2,Charged Off
14000,36 months,14.3,480.53,C,10+ years,MORTGAGE,132300,Not Verified,credit_card,5.24,1,707,67.7,Fully Paid
8800,36 months,10.01,283.99,B,3 years,RENT,72500,Not Verified,credit_card,9.31,1,729,45.8,Fully Paid
4800,60 months,26.08,143.94,F,10+ years,OWN,45900,Source Verified,credit_card,13.15,0,678,84.8,Charged Off
12200,36 months,15.52,426.03,C,4 years,OWN,93100,Source Verified,debt_consolidation,25.52,0,702,33.3,Fully Paid
10700,36 months,12.27,356.77,C,10+ years,MORTGAGE,24600,Not Verified,debt_consolidation,17.32,0,689,57.0,Fully Paid
16700,36 months,10.5,542.79,B,10+ years,RENT,44100,Source Verified,debt_consolidation,36.26,0,710,13.0,Charged Off
9300,36 months,12.96,313.17,B,10+ years,MORTGAGE,58500,Source Verified,debt_consolidation,3.2,1,692,16.9,Fully Paid
40000,36 months,13.78,1362.84,C,5 years,MORTGAGE,34000,Verified,major_purchase,21.53,0,690,38.9,Fully Paid
12300,36 months,10.72,401.06,B,< 1 year,RENT,76700,Not Verified,debt_consolidation,45.07,0,711,39.7,Charged Off
3200,36 months,7.55,99.61,A,10+ years,MORTGAGE,67500,Verified,debt_consolidation,16.75,0,744,9.2,Fully Paid
14000,36 months,15.34,487.65,D,10+ years,MORTGAGE,49500,Not Verified,debt_consolidation,14.88,0,686,85.8,Charged Off
2800,36 months,13.33,94.79,C,10+ years,MORTGAGE,46200,Not Verified,home_improvement,50.0,0,707,66.3,Fully Paid
4800,36 months,6.46,147.03,A,5 years,RENT,168700,Verified,debt_consolidation,21.46,2,737,66.4,Charged Off
3600,60 months,9.52,75.64,B,10+ years,OWN,73900,Source Verified,debt_consolidation,18.37,1,721,30.4,Fully Paid
40000,60 months,8.81,826.65,B,10+ years,MORTGAGE,40600,Source Verified,credit_card,8.5,0,712,64.7,Charged Off
7900,36 months,10.14,255.43,B,10+ years,MORTGAGE,24600,Not Verified,credit_card,33.19,0,726,38.5,Charged Off
23600,60 months,16.9,585.25,D,5 years,RENT,39500,Verified,debt_consolidation,4.74,0,683,32.5,Charged Off
9100,36 months,9.28,290.56,B,10+ years,RENT,58300,Verified,debt_consolidation,10.79,0,721,35.4,Fully Paid
4400,36 months,9.97,141.91,B,1 year,OWN,80700,Verified,small_business,22.36,1,720,45.7,Charged Off
12200,36 months,11.73,403.64,B,10+ years,MORTGAGE,64600,Verified,home_improvement,20.16,1,701,72.0,Charged Off
19500,36 months,16.96,694.84,D,8 years,MORTGAGE,70600,Not Verified,debt_consolidation,16.47,0,699,70.2,Charged Off
10300,60 months,13.04,234.57,C,6 years,MORTGAGE,96900,Source Verified,debt_consolidation,23.36,0,692,26.5,Charged Off
7500,36 months,8.42,236.48,B,10+ years,MORTGAGE,39500,Source Verified,medical,23.27,0,693,86.6,Charged Off
7000,60 months,14.66,165.28,C,10+ years,OWN,51800,Verified,small_business,20.4,1,702,65.0,Charged Off
14100,36 months,8.78,446.93,A,10+ years,RENT,167600,Verified,debt_consolidation,9.16,1,749,53.0,Fully Paid
9000,36 months,5.68,272.49,A,10+ years,RENT,54800,Not Verified,debt_consolidation,21.49,0,741,74.6,Fully Paid
17000,36 months,22.03,649.5,F,10+ years,OWN,15200,Source Verified,home_improvement,27.32,0,643,67.2,Charged Off
17900,36 months,17.3,640.86,D,4 years,RENT,79300,Source Verified,debt_consolidation,10.22,0,684,81.3,Charged Off
17000,36 months,13.6,577.72,C,< 1 year,MORTGAGE,21400,Verified,debt_consolidation,17.34,0,704,66.0,Charged Off
8000,60 months,8.09,162.56,B,10+ years,MORTGAGE,19600,Verified,major_purchase,25.82,0,713,90.0,Charged Off
22900,60 months,24.67,667.72,F,1 year,RENT,55000,Verified,medical,18.01,0,653,37.5,Fully Paid
17400,60 months,8.15,354.06,A,5 years,RENT,38600,Not Verified,medical,14.69,0,755,66.3,Fully Paid
8700,36 months,10.52,282.85,B,6 years,RENT,95300,Not Verified,debt_consolidation,15.55,0,733,74.5,Charged Off
15800,36 months,9.6,506.86,B,4 years,MORTGAGE,75700,Not Verified,home_improvement,15.51,0,729,66.7,Charged Off
9600,60 months,7.26,191.27,A,7 years,RENT,88700,Source Verified,debt_consolidation,7.01,0,759,53.5,Fully Paid
21400,36 months,11.5,705.69,B,5 years,MORTGAGE,70200,Source Verified,debt_consolidation,7.57,0,711,39.9,Fully Paid
9200,36 months,22.57,354.07,E,7 years,RENT,42100,Not Verified,debt_consolidation,39.95,0,661,62.1,Charged Off
24800,36 months,10.6,807.23,B,5 years,RENT,59400,Verified,debt_consolidation,10.89,1,713,65.6,Fully Paid
11300,36 months,15.31,393.44,C,10+ years,RENT,21600,Verified,credit_card,17.77,1,693,6.7,Fully Paid
15000,36 months,10.62,488.39,B,1 year,RENT,108800,Not Verified,credit_card,17.09,0,725,32.0,Fully Paid
15800,36 months,20.06,587.67,E,1 year,MORTGAGE,69600,Verified,debt_consolidation,29.26,0,660,55.7,Charged Off
2100,60 months,11.52,46.21,B,7 years,MORTGAGE,56200,Source Verified,credit_card,10.63,0,702,88.5,Fully Paid
10100,60 months,6.78,198.95,A,3 years,RENT,66100,Source Verified,debt_consolidation,16.46,0,738,48.9,Fully Paid
19300,36 months,11.95,640.58,C,2 years,RENT,126400,Not Verified,debt_consolidation,17.65,1,714,56.4,Charged Off
4700,36 months,11.3,154.54,C,1 year,RENT,63500,Source Verified,debt_consolidation,7.4,1,697,64.7,Charged Off
15000,60 months,13.84,347.78,C,3 years,MORTGAGE,99600,Verified,debt_consolidation,10.17,0,710,56.0,Fully Paid
22500,60 months,14.87,533.74,C,1 year,RENT,41200,Verified,debt_consolidation,22.25,1,719,48.3,Charged Off
8200,60 months,9.26,171.26,B,1 year,MORTGAGE,43100,Verified,major_purchase,26.99,0,700,24.7,Charged Off
15800,36 months,10.51,513.61,B,3 years,MORTGAGE,26200,Source Verified,debt_consolidation,30.03,0,733,38.7,Charged Off
9900,36 months,10.56,322.05,B,10+ years,RENT,47300,Not Verified,debt_consolidation,9.82,0,726,25.6,Fully Paid
7800,36 months,26.21,315.14,G,10+ years,RENT,31900,Verified,debt_consolidation,20.54,1,643,52.6,Charged Off
17000,36 months,15.75,595.57,D,4 years,MORTGAGE,57900,Verified,debt_consolidation,26.14,1,682,43.4,Charged Off
9700,60 months,14.88,230.15,D,6 years,MORTGAGE,28500,Not Verified,debt_consolidation,28.45,0,674,22.6,Charged Off
8300,60 months,15.09,197.85,D,< 1 year,MORTGAGE,141200,Not Verified,debt_consolidation,18.72,1,689,42.5,Charged Off
12000,36 months,6.59,368.28,A,5 years,MORTGAGE,56900,Verified,debt_consolidation,27.17,0,743,43.4,Fully Paid
11400,60 months,7.92,230.71,B,7 years,MORTGAGE,86900,Source Verified,debt_consolidation,29.67,0,717,93.1,Fully Paid
20000,36 months,22.01,763.91,E,10+ years,MORTGAGE,80100,Not Verified,credit_card,12.34,0,682,42.9,Charged Off
18400,36 months,11.05,602.83,B,10+ years,MORTGAGE,51100,Not Verified,home_improvement,27.67,0,694,38.9,Fully Paid
9600,36 months,22.76,370.41,F,3 years,RENT,46300,Verified,debt_consolidation,12.48,0,653,59.7,Charged Off
5800,36 months,15.81,203.37,D,8 years,MORTGAGE,51200,Not Verified,credit_card,10.12,0,671,52.2,Fully Paid
8700,60 months,17.82,220.07,D,7 years,MORTGAGE,55300,Source Verified,debt_consolidation,12.82,0,660,50.7,Charged Off
19100,60 months,13.98,444.23,C,10+ years,OWN,135700,Source Verified,debt_consolidation,16.28,1,668,72.1,Fully Paid
5500,60 months,5.17,104.22,A,10+ years,MORTGAGE,80900,Not Verified,credit_card,10.83,0,744,31.1,Fully Paid
3400,36 months,14.35,116.78,C,4 years,RENT,70000,Verified,debt_consolidation,12.36,0,718,64.8,Charged Off
3900,60 months,5.9,75.22,A,3 years,RENT,59600,Verified,major_purchase,16.95,0,735,55.8,Fully Paid
12900,36 months,16.92,459.41,E,2 years,MORTGAGE,67700,Source Verified,credit_card,27.59,0,656,88.9,Charged Off
9600,36 months,11.54,316.75,B,5 years,RENT,132400,Source Verified,debt_consolidation,21.33,0,709,50.9,Charged Off
22600,60 months,20.2,601.28,E,10+ years,MORTGAGE,66100,Verified,credit_card,7.18,0,669,26.1,Charged Off
15500,36 months,13.07,522.78,C,10+ years,RENT,80000,Verified,debt_consolidation,26.2,0,697,81.9,Charged Off
18600,36 months,7.03,574.57,A,3 years,RENT,63500,Verified,debt_consolidation,6.24,0,739,28.8,Fully Paid
5400,60 months,16.02,131.37,D,< 1 year,MORTGAGE,88500,Not Verified,credit_card,40.18,0,701,54.4,Charged Off
9000,36 months,9.24,287.2,B,6 years,OWN,76400,Not Verified,credit_card,14.35,0,699,60.4,Fully Paid
6100,36 months,11.91,202.35,B,3 years,RENT,82200,Not Verified,debt_consolidation,4.99,0,737,19.5,Fully Paid
10400,36 months,10.01,335.63,B,8 years,RENT,19100,Not Verified,debt_consolidation,21.73,0,706,69.3,Charged Off
19900,36 months,15.26,692.38,D,5 years,MORTGAGE,48700,Verified,credit_card,15.22,0,674,13.3,Fully Paid
14500,36 months,10.71,472.72,B,10+ years,RENT,62200,Not Verified,debt_consolidation,24.81,2,702,59.7,Charged Off
6900,36 months,13.42,233.89,C,10+ years,RENT,93300,Verified,credit_card,39.15,1,709,71.9,Charged Off
15500,36 months,17.9,559.58,E,< 1 year,OWN,73100,Not Verified,credit_card,31.73,0,699,64.2,Charged Off
6000,36 months,9.31,191.67,B,3 years,RENT,78600,Not Verified,credit_card,8.07,0,708,51.9,Fully Paid
6100,36 months,6.39,186.65,A,7 years,MORTGAGE,54300,Source Verified,home_improvement,9.93,1,741,46.2,Fully Paid
8000,60 months,8.82,165.37,B,10+ years,RENT,109500,Not Verified,debt_consolidation,28.41,0,699,23.1,Fully Paid
6000,36 months,16.54,212.55,D,6 years,MORTGAGE,63300,Source Verified,debt_consolidation,11.65,0,683,91.4,Charged Off
11000,60 months,10.48,236.32,B,10+ years,MORTGAGE,48100,Source Verified,medical,10.89,0,720,53.0,Fully Paid
7600,60 months,10.99,165.2,C,7 years,MORTGAGE,35200,Source Verified,debt_consolidation,40.29,0,681,39.6,Fully Paid
4100,36 months,9.83,131.97,B,10+ years,OWN,21700,Verified,car,4.31,0,732,49.4,Fully Paid
20400,36 months,6.28,623.2,A,10+ years,MORTGAGE,35400,Not Verified,debt_consolidation,18.1,0,756,33.9,Fully Paid
12000,36 months,13.36,406.41,C,10+ years,RENT,32900,Not Verified,major_purchase,32.27,0,723,39.9,Charged Off
10000,36 months,12.6,335.02,C,8 years,MORTGAGE,45100,Source Verified,debt_consolidation,7.52,0,702,88.1,Charged Off
16100,36 months,9.19,513.4,B,10+ years,MORTGAGE,36600,Source Verified,debt_consolidation,25.61,1,706,91.0,Charged Off
16200,36 months,23.45,630.9,F,3 years,RENT,120900,Verified,debt_consolidation,23.33,0,684,40.1,Fully Paid
25500,36 months,8.6,806.15,A,4 years,MORTGAGE,57000,Verified,debt_consolidation,2.99,0,742,76.3,Fully Paid
11400,60 months,9.96,241.99,B,9 years,MORTGAGE,106100,Not Verified,debt_consolidation,10.14,0,731,23.7,Fully Paid
10600,36 months,11.14,347.73,B,10+ years,OWN,72200,Verified,medical,20.05,1,729,44.9,Fully Paid
20600,36 months,10.38,668.39,B,< 1 year,RENT,119500,Verified,debt_consolidation,17.63,0,702,27.9,Fully Paid
4000,36 months,13.97,136.65,C,< 1 year,OWN,28700,Not Verified,car,19.34,0,705,18.1,Fully Paid
17200,36 months,17.46,617.17,D,6 years,RENT,69000,Verified,debt_consolidation,24.27,0,690,45.2,Fully Paid
6700,36 months,14.06,229.19,C,4 years,MORTGAGE,70500,Verified,major_purchase,11.41,0,723,57.9,Fully Paid
13600,60 months,7.14,270.2,A,4 years,OWN,90500,Source Verified,debt_consolidation,25.75,1,726,25.9,Charged Off
6800,36 months,11.7,224.88,B,5 years,MORTGAGE,25600,Source Verified,debt_consolidation,14.67,0,699,47.0,Charged Off
17300,36 months,20.81,650.09,E,3 years,RENT,121300,Not Verified,credit_card,28.64,0,687,57.9,Charged Off
10700,60 months,10.05,227.61,B,9 years,OWN,101100,Source Verified,debt_consolidation,47.27,0,712,42.2,Charged Off
23300,36 months,8.47,735.2,A,4 years,RENT,41700,Source Verified,debt_consolidation,12.46,0,750,45.7,Fully Paid
4200,60 months,20.52,112.49,D,1 year,RENT,112000,Verified,debt_consolidation,28.13,0,681,31.3,Charged Off
9700,36 months,18.4,352.63,E,9 years,MORTGAGE,34200,Verified,other,13.99,0,677,59.7,Fully Paid
15700,36 months,13.14,530.05,C,5 years,MORTGAGE,69000,Source Verified,debt_consolidation,27.38,2,695,42.4,Fully Paid
8900,60 months,22.37,247.68,F,< 1 year,MORTGAGE,59600,Source Verified,home_improvement,19.91,0,671,20.2,Charged Off
5100,36 months,18.26,185.04,D,2 years,RENT,69400,Verified,debt_consolidation,10.49,0,695,27.7,Charged Off
10300,36 months,11.76,340.93,B,< 1 year,OWN,258400,Verified,debt_consolidation,9.19,0,714,33.5,Fully Paid
14000,60 months,13.05,318.9,C,5 years,MORTGAGE,31900,Verified,debt_consolidation,9.58,1,696,56.5,Charged Off
16700,36 months,9.05,531.44,B,5 years,MORTGAGE,87300,Verified,debt_consolidation,16.96,0,703,67.8,Fully Paid
6000,36 months,8.98,190.74,B,6 years,RENT,140500,Not Verified,credit_card,20.08,0,721,67.6,Fully Paid
25700,36 months,20.07,956.02,E,10+ years,MORTGAGE,34600,Verified,credit_card,7.55,0,667,41.0,Charged Off
15500,60 months,13.67,358.01,C,3 years,OWN,38200,Verified,debt_consolidation,9.33,0,687,33.1,Fully Paid
8000,36 months,13.83,272.76,C,10+ years,MORTGAGE,34300,Verified,credit_card,23.12,0,695,85.8,Charged Off
11600,36 months,22.69,447.16,E,< 1 year,OWN,39100,Verified,debt_consolidation,19.09,0,656,29.2,Charged Off
21500,36 months,9.59,689.61,B,10+ years,MORTGAGE,50400,Verified,credit_card,24.55,1,711,90.8,Charged Off
15800,36 months,7.2,489.3,A,10+ years,OWN,17400,Not Verified,debt_consolidation,38.04,0,756,60.6,Fully Paid
7000,36 months,11.17,229.73,B,10+ years,OWN,123800,Not Verified,home_improvement,20.25,0,740,28.4,Fully Paid
40000,36 months,6.82,1231.79,A,10+ years,RENT,98500,Source Verified,car,6.55,0,734,47.8,Fully Paid
9800,36 months,6.81,301.74,A,9 years,RENT,128300,Not Verified,debt_consolidation,28.47,0,737,67.9,Charged Off
37400,36 months,11.26,1229.04,B,7 years,RENT,34700,Source Verified,debt_consolidation,12.12,1,714,74.4,Fully Paid
13200,36 months,8.43,416.26,A,2 years,RENT,107200,Source Verified,home_improvement,19.35,0,755,28.4,Fully Paid
23800,36 months,9.86,766.4,B,2 years,MORTGAGE,24600,Verified,debt_consolidation,15.07,0,727,56.0,Charged Off
33600,36 months,11.59,1109.43,C,2 years,MORTGAGE,65900,Not Verified,debt_consolidation,14.13,0,709,54.0,Fully Paid
16900,36 months,11.36,556.17,B,10+ years,OWN,92600,Not Verified,debt_consolidation,25.06,0,697,29.5,Fully Paid
10500,36 months,20.26,391.61,E,3 years,RENT,33100,Not Verified,debt_consolidation,30.42,1,679,31.8,Charged Off
8100,60 months,6.21,157.39,A,5 years,MORTGAGE,31100,Not Verified,other,33.28,0,781,55.6,Charged Off
24000,36 months,10.3,777.8,B,6 years,MORTGAGE,152000,Verified,home_improvement,13.95,1,723,10.9,Fully Paid
12200,36 months,14.26,418.51,C,1 year,MORTGAGE,65000,Verified,debt_consolidation,9.55,1,697,53.2,Charged Off
7000,60 months,9.01,145.34,B,1 year,MORTGAGE,57100,Source Verified,small_business,18.7,0,725,66.4,Fully Paid
9200,60 months,6.48,179.92,A,10+ years,RENT,50000,Not Verified,debt_consolidation,20.47,0,755,25.1,Fully Paid
7900,36 months,13.51,268.13,C,6 years,MORTGAGE,163400,Not Verified,debt_consolidation,11.54,0,679,57.0,Charged Off
21400,36 months,10.33,693.84,B,2 years,RENT,154200,Source Verified,credit_card,17.09,0,704,67.5,Fully Paid
14600,36 months,7.69,455.43,A,5 years,RENT,69300,Verified,small_business,14.93,0,735,85.6,Fully Paid
10800,36 months,9.72,347.07,B,10+ years,MORTGAGE,74700,Source Verified,debt_consolidation,12.25,0,698,89.1,Charged Off
9500,36 months,9.62,304.85,B,3 years,RENT,109800,Not Verified,debt_consolidation,16.14,0,712,46.5,Fully Paid
6300,36 months,12.8,211.67,B,< 1 year,MORTGAGE,65700,Not Verified,credit_card,5.8,0,715,15.8,Fully Paid
35500,36 months,7.07,1097.27,A,10+ years,OWN,26600,Verified,debt_consolidation,8.41,0,745,58.0,Fully Paid
9100,36 months,16.31,321.32,D,5 years,RENT,73500,Verified,debt_consolidation,13.22,1,675,47.5,Charged Off
6800,36 months,12.51,227.52,B,3 years,OWN,118600,Verified,debt_consolidation,14.85,0,706,86.2,Charged Off
5200,36 months,13.82,177.27,C,5 years,OWN,42100,Source Verified,debt_consolidation,12.7,0,721,24.4,Fully Paid
5300,60 months,13.67,122.42,C,4 years,MORTGAGE,47700,Source Verified,debt_consolidation,24.24,0,683,66.5,Charged Off
5600,36 months,14.37,192.4,C,9 years,MORTGAGE,65000,Verified,credit_card,10.43,0,693,30.7,Fully Paid
